accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1.61,8.29,-2.57,0.09,-0.59,0.33
1.71,5.56,-5.17,0.2,-0.59,0.01
1.64,6.62,-3.1,-0.76,0.2,-0.04
2.56,5.13,-3.26,-0.42,0.56,-0.13
0.41,4.96,-7.62,1.09,0.35,-0.31
2.25,19.62,-19.62,3.56,0.11,-0.09
0.14,7.89,-3.79,3.32,-1.54,-0.12
2.88,5.53,-5.68,2.8,-1.85,-0.65
-9.92,-1.07,-10.62,1.16,-3.48,0.12
-10.09,-0.28,-7.62,-0.34,-2.94,-0.6
-18.28,-6.64,-5.29,0.95,-3.78,-1.69
-7.13,-1.18,0.69,-0.14,0.89,-0.04
-6.72,-2.9,-0.33,-0.6,0.32,-0.08
-10.29,-4.57,-3.91,-0.53,0.89,-0.18
-9.54,-3.13,-4.96,0.6,0.58,-0.12
1.37,8.13,-4.8,-0.05,-0.2,-0.04
1.66,6.75,-4.58,0.08,0.16,-0.31
0.27,5.3,-3.9,0.24,0.41,-0.14
1.82,6.12,-2.1,-0.34,0.02,-0.04
-1.46,-0.11,-5.46,0.98,-0.28,0.17
0.68,6.4,-4.24,1.59,-0.0,-0.6
-7.47,19.62,-19.62,4.37,-1.53,-0.38
-9.06,7.43,-2.95,3.17,-2.95,-0.75
-4.29,0.36,-8.39,0.2,-4.37,-0.18
-19.62,-3.68,-13.17,1.5,-3.27,-2.27
-8.54,-6.64,-2.88,0.0,2.77,-0.69
-3.76,-4.52,-1.38,-0.64,0.63,-0.83
-8.54,-6.01,-5.28,-0.16,1.16,-0.19
-8.37,-5.15,-8.57,-0.61,1.12,-0.21
-8.37,-5.15,-8.57,-0.61,1.12,-0.21
0.8,7.25,-4.27,0.08,0.03,-0.09
0.37,6.99,-4.75,0.2,0.18,0.04
0.67,5.98,-3.98,0.44,0.39,-0.1
2.06,6.51,-2.93,-0.02,0.64,0.02
-0.19,6.85,-8.79,1.31,0.71,0.22
9.93,19.62,-19.62,4.37,1.11,0.15
-4.47,-0.3,-4.18,3.92,-0.06,0.43
5.57,1.38,-0.34,2.88,0.83,-0.26
-10.64,-1.04,-14.51,0.53,-3.09,-0.05
-4.86,-12.55,-17.95,1.75,-2.39,-0.11
-9.41,-9.16,-19.16,1.17,-0.43,-0.4
-5.13,-4.17,-10.17,0.52,-0.18,-0.47
-3.52,-4.23,-8.04,0.16,0.26,-0.29
-3.56,-4.49,-9.15,-0.26,0.24,0.02
-3.99,-4.72,-10.5,-0.13,0.19,-0.05
0.88,7.08,-4.99,0.11,0.42,-0.03
0.28,6.91,-3.56,-0.21,0.49,0.12
0.8,5.52,-2.39,-0.14,0.41,-0.01
-0.01,3.34,-8.81,0.96,0.07,-0.26
5.59,8.44,-19.62,2.98,0.35,-0.16
-3.89,-1.4,-0.3,2.85,-0.79,0.01
4.31,5.27,-0.6,2.01,-0.08,-0.64
-0.31,3.24,-11.18,2.74,0.64,-0.18
-0.89,-12.09,-10.86,0.43,-1.24,-0.05
-3.42,-7.24,-19.44,2.09,0.38,-1.3
-4.91,-9.06,-16.43,0.4,0.21,-0.07
-3.2,-4.67,-9.01,-0.16,-0.02,-0.3
-2.12,-4.2,-8.74,-0.22,-0.04,-0.03
-2.7,-4.89,-10.52,-0.21,0.08,-0.01
-2.54,-4.62,-10.04,0.04,0.1,-0.13
1.34,5.81,-4.71,0.36,0.59,0.0
1.62,3.27,-8.01,1.45,1.29,0.19
2.86,10.61,-19.62,4.37,-0.21,0.64
2.31,0.47,-9.91,3.57,0.06,0.54
7.76,-6.73,-10.98,1.36,-1.39,0.97
-4.81,-14.14,-11.84,0.92,-1.62,0.44
-4.28,-7.03,-14.34,1.49,-1.44,0.31
-4.35,-6.09,-10.88,-0.29,-0.24,0.09
-3.01,-2.98,-6.63,-0.47,0.1,0.18
-4.74,-4.79,-12.32,-0.27,0.15,-0.04
-3.52,-3.7,-9.37,-0.06,0.04,-0.16
-3.84,-4.15,-10.61,0.01,0.07,-0.16
-3.61,-4.01,-9.91,0.04,0.11,-0.2
-3.49,-4.14,-10.11,-0.09,0.07,-0.12
-3.71,-3.84,-10.3,-0.27,0.13,-0.1
0.22,8.74,-4.82,-0.35,-0.17,-0.07
0.76,4.81,-4.36,-0.16,0.47,-0.04
