accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.15,9.27,-3.28,0.0,0.01,-0.03
0.23,9.25,-3.33,0.0,0.0,-0.03
0.51,8.94,-3.88,0.01,-0.0,-0.03
1.35,6.27,-4.51,0.21,0.17,-0.08
0.36,5.78,-3.16,1.03,0.11,0.67
0.89,8.06,-3.96,0.09,-0.24,0.04
1.3,8.02,-3.63,-0.25,0.32,-0.4
0.04,9.17,-5.12,-0.77,0.31,-0.2
0.8,9.37,-3.96,-0.24,0.25,-0.01
0.7,11.92,-3.51,-0.93,-0.51,-0.32
-0.42,13.53,-2.45,-1.34,-0.27,-0.39
-0.15,8.05,-0.34,-1.0,0.06,-0.43
-1.44,9.04,1.06,-0.57,-0.12,-0.22
-0.73,8.73,0.51,-0.11,0.11,0.09
-0.48,9.76,-0.95,-0.37,-0.15,-0.14
0.67,9.11,-3.77,-0.08,0.05,-0.05
0.61,9.12,-3.88,-0.1,0.06,-0.07
0.85,8.89,-4.45,-0.0,0.05,-0.06
1.07,5.86,-5.27,0.41,-0.07,0.08
2.17,7.08,-5.18,1.24,0.32,0.4
1.19,7.07,-4.94,1.0,0.29,0.27
0.36,7.99,-6.12,0.67,-0.05,0.1
2.8,7.0,-4.94,0.06,0.14,0.14
2.09,10.12,-6.84,-1.3,-0.02,-0.46
1.5,9.65,-4.82,-0.34,0.72,-0.03
1.24,15.04,-4.79,-1.57,-0.46,-1.01
-0.71,5.83,-2.18,-1.76,-0.63,-0.78
-0.73,9.86,-2.22,-0.96,0.03,-0.24
-1.05,9.0,-0.97,-0.66,-0.17,-0.21
-1.23,8.9,-0.02,-0.28,-0.1,-0.06
0.36,9.41,-3.34,0.02,-0.01,-0.02
0.48,9.26,-3.51,-0.0,-0.01,-0.03
2.41,4.0,-5.69,1.09,0.24,0.19
0.72,8.0,-6.75,1.33,0.13,0.49
1.41,4.75,-5.26,0.5,0.14,0.15
0.93,7.71,-6.22,1.16,0.23,0.36
1.54,7.77,-6.37,0.21,0.18,-0.0
2.85,8.83,-6.73,-0.85,0.48,-0.49
0.25,10.21,-5.71,-0.15,0.73,-0.49
1.57,10.66,-4.81,-1.13,0.09,-0.96
-1.46,15.97,-4.79,-0.31,-0.75,-0.11
-0.7,8.74,-2.74,-0.94,-0.07,-0.4
0.21,9.73,-0.91,-0.75,-0.37,-0.28
-1.07,8.92,0.73,-0.55,-0.2,-0.25
-0.8,9.56,-0.7,-0.01,-0.07,-0.02
0.06,9.08,-4.23,-0.0,-0.01,-0.03
0.18,8.93,-4.15,-0.02,0.01,-0.04
0.54,7.69,-5.55,0.15,0.07,-0.19
0.41,7.79,-5.85,0.23,-0.08,0.09
1.48,4.15,-4.77,1.22,0.49,0.25
0.89,6.8,-6.05,0.95,0.36,0.41
1.31,6.67,-6.22,0.98,0.47,0.51
2.1,7.52,-7.9,-0.32,0.55,-0.07
1.94,10.24,-7.96,-0.04,0.62,-0.09
2.11,8.36,-5.03,-0.59,0.57,-0.2
2.5,9.86,-5.48,-1.19,-0.2,-0.69
0.97,11.01,-4.6,-1.61,-0.75,-1.05
0.42,8.52,-2.41,-1.05,-0.55,-0.53
-0.63,9.74,-2.45,-1.02,-0.47,-0.35
-0.45,9.47,-1.57,-0.73,-0.15,-0.22
0.1,9.29,-3.89,0.03,-0.03,-0.01
0.13,8.97,-3.82,-0.01,0.02,-0.03
0.18,8.68,-4.51,0.03,-0.0,-0.08
1.34,6.22,-5.15,0.58,0.26,-0.33
0.62,6.65,-4.96,0.75,0.14,0.04
-0.13,5.91,-5.59,0.89,0.44,0.49
1.43,6.58,-5.27,0.65,0.34,0.47
0.79,7.38,-6.76,0.1,0.51,0.16
-0.05,7.65,-7.59,-0.17,0.72,-0.2
1.2,10.8,-7.25,-0.19,0.48,-0.54
2.05,11.64,-5.89,-0.95,-0.11,-0.71
-0.69,13.31,-4.72,-1.06,-0.94,-0.97
-0.5,7.55,-2.35,-1.08,-0.29,-0.45
-0.78,9.37,-2.85,-0.8,-0.35,-0.19
-0.99,9.01,-1.61,-0.62,-0.15,-0.13
0.77,9.14,-3.97,0.04,-0.01,-0.03
0.82,8.68,-4.42,0.1,-0.11,-0.02
1.08,6.44,-4.91,0.45,-0.05,-0.03
1.42,6.54,-4.53,0.95,0.0,0.16
1.18,6.22,-5.72,0.97,0.34,0.26
1.45,7.22,-6.47,1.0,0.27,0.5
2.48,9.25,-6.69,-0.26,0.55,0.22
3.43,9.1,-6.38,-0.12,0.67,0.19
3.95,8.14,-6.42,-0.31,0.56,-0.17
3.62,8.81,-6.05,-0.79,0.17,-0.46
